000B2D, "Danfoss Inc.", "SCADA_VENDOR", "3"
000B45, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000B46, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000B5F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000B60, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000B85, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000BA3, "Siemens AG, I&S", "SCADA_VENDOR", "5"
000BBE, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000BBF, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000BCB, "Fagor Automation, S. Coop", "SCADA_VENDOR", "3"
000BDB, "Dell ESG PCBA Test", "PC_VENDOR", "5"
000BF3, "BAE Systems", "SCADA_VENDOR", "2"
000BFC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000BFD, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000C02, "ABB Oy", "SCADA_VENDOR", "2"
000C1A, "Quest Technical Solutions Inc.", "SCADA_VENDOR", "3"
000C30, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000C31, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000C41, "Cisco-Linksys", "NETWORK_VENDOR", "5"
000C62, "ABB AB, Cewe-Control", "SCADA_VENDOR", "3"
000C85, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000C86, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000C87, "AMD", "SCADA_VENDOR", "2"
000CCE, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000CCF, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000CDE, "ABB Stotz-Kontakt GmbH", "SCADA_VENDOR", "2"
000D1E, "Control Techniques", "SCADA_VENDOR", "3"
000D28, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000D29, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000D41, "Siemens AG ICM MP UC RD IT KLF1", "SCADA_VENDOR", "5"
000D56, "Dell ESG PCBA Test", "PC_VENDOR", "5"
000D65, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000D66, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000D81, "Pepperl+Fuchs GmbH", "SCADA_VENDOR", "3"
000D98, "S.W.A.C. Schmitt-Walter Automation Consult GmbH", "SCADA_VENDOR", "3"
000DAB, "Parker Hannifin GmbH Electromechanical Division Europe", "SCADA_VENDOR", "3"
000DBC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000DBD, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000DEC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000DED, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000E08, "Cisco Linksys LLC", "NETWORK_VENDOR", "5"
